id,name,tagline,description,website_url,logo_url,categories,features,pricing,featured,date_added,upvotes,views,rating,review_count,created_at,updated_at,favorites_count,reviews_count
43ea1727-26d3-4c61-809f-c17cafc1ed2a,材料检测AI,利用计算机视觉进行材料质量检测,利用计算机视觉技术进行材料质量检测和缺陷识别的智能工具，提升检测精度和效率。,https://materialai.com,https://images.pexels.com/photos/3862388/pexels-photo-3862388.jpeg?auto=compress&cs=tinysrgb&w=200,"[""岩土工程""]","[""AI优化"",""安全监控""]",Trial,false,2025-08-11 14:03:46.680224+00,1180,8450,4.60,78,2025-08-11 14:03:46.680224+00,2025-08-11 14:03:46.680224+00,0,0
46e2969e-8808-4a31-81a5-589f4bb1e168,CAD智能绘图,基于自然语言的CAD绘图工具,基于自然语言的CAD绘图工具，通过描述即可生成专业工程图纸，大大提升绘图效率。,https://smartcad.com,https://images.pexels.com/photos/3862385/pexels-photo-3862385.jpeg?auto=compress&cs=tinysrgb&w=200,"[""图纸处理""]","[""自动化出图"",""参数化设计""]",Free,false,2025-08-11 14:03:46.680224+00,1420,9870,4.40,94,2025-08-11 14:03:46.680224+00,2025-08-11 14:03:46.680224+00,0,0
5a0c2081-564c-4c94-96ac-60241c3a5b79,施工进度AI,智能项目管理工具，优化施工进度安排,智能项目管理工具，通过AI分析优化施工进度安排和资源配置，提升项目管理效率。,https://constructionai.com,https://images.pexels.com/photos/3862130/pexels-photo-3862130.jpeg?auto=compress&cs=tinysrgb&w=200,"[""智能施工管理""]","[""协同工作"",""安全监控""]",Paid,true,2025-08-12 15:24:26.825299+00,1650,11230,4.50,127,2025-08-12 15:24:26.825299+00,2025-08-12 15:24:26.825299+00,0,0
61ccde6c-939c-471c-ac40-54dff99f672d,混凝土强度预测,利用机器学习预测混凝土强度发展,利用机器学习预测混凝土强度发展趋势，为施工质量控制提供科学依据。,https://concretestrength.com,https://images.pexels.com/photos/3862398/pexels-photo-3862398.jpeg?auto=compress&cs=tinysrgb&w=200,"[""岩土工程""]","[""AI优化""]",Free,false,2025-08-11 14:03:46.680224+00,892,6540,4.40,56,2025-08-11 14:03:46.680224+00,2025-08-11 14:03:46.680224+00,0,0
8baaabd5-8fb0-4a65-b03a-9002f3b3a183,混凝土强度预测,利用机器学习预测混凝土强度发展,利用机器学习预测混凝土强度发展趋势，为施工质量控制提供科学依据。,https://concretestrength.com,https://images.pexels.com/photos/3862398/pexels-photo-3862398.jpeg?auto=compress&cs=tinysrgb&w=200,"[""岩土工程""]","[""AI优化""]",Free,false,2025-08-12 15:24:26.825299+00,892,6540,4.40,56,2025-08-12 15:24:26.825299+00,2025-08-12 15:24:26.825299+00,0,0
93884b00-1e1c-43bf-b8d9-29781025f626,StructuralGPT,基于AI的结构设计助手，快速生成结构方案,StructuralGPT 是一款革命性的AI驱动结构设计工具，专为土木工程师打造。它利用先进的机器学习算法和大量的工程数据，能够在几分钟内生成优化的结构设计方案。该工具不仅能够处理常规的建筑结构设计，还能应对复杂的工程挑战，如高层建筑、大跨度结构和特殊形状建筑的结构设计。,https://structuralgpt.com,https://images.pexels.com/photos/3862132/pexels-photo-3862132.jpeg?auto=compress&cs=tinysrgb&w=200,"[""AI结构设计""]","[""参数化设计"",""AI优化"",""自动化出图""]",Freemium,true,2025-08-12 15:24:26.825299+00,2340,15420,4.80,156,2025-08-12 15:24:26.825299+00,2025-08-12 15:24:26.825299+00,0,0
93993a44-99e8-45bd-ab77-158c998f58a0,工程资料管理,智能化的工程文档和资料管理系统,智能化的工程文档和资料管理系统，支持文档分类、检索和版本控制。,https://docmanager.com,https://images.pexels.com/photos/3862392/pexels-photo-3862392.jpeg?auto=compress&cs=tinysrgb&w=200,"[""资料管理""]","[""协同工作""]",Paid,false,2025-08-12 15:24:26.825299+00,980,7650,4.30,65,2025-08-12 15:24:26.825299+00,2025-08-12 15:24:26.825299+00,0,0
99e19c12-2fce-4c9a-b487-5427338a890f,智能造价估算,基于历史数据的工程造价快速估算,基于历史数据和AI算法的工程造价快速估算工具，准确率达95%以上，为项目决策提供可靠依据。,https://smartcostestimate.com,https://images.pexels.com/photos/3862365/pexels-photo-3862365.jpeg?auto=compress&cs=tinysrgb&w=200,"[""效率工具""]","[""成本估算"",""AI优化""]",Paid,true,2025-08-12 15:24:26.825299+00,3120,18760,4.70,203,2025-08-12 15:24:26.825299+00,2025-08-12 15:24:26.825299+00,0,0
b2e0900e-0fdb-4139-8cea-bb88b66eb3f7,地质勘探AI,基于机器学习的地质数据分析工具,基于机器学习的地质数据分析工具，提供精准的地质勘探报告和风险评估。,https://geoai.com,https://images.pexels.com/photos/3862394/pexels-photo-3862394.jpeg?auto=compress&cs=tinysrgb&w=200,"[""岩土工程""]","[""AI优化"",""参数化设计""]",Paid,false,2025-08-12 15:24:26.825299+00,756,6890,4.20,43,2025-08-12 15:24:26.825299+00,2025-08-12 15:24:26.825299+00,0,0
cec28679-b949-48cc-8bae-1050516537df,施工安全监控,基于计算机视觉的施工现场安全监控,基于计算机视觉的施工现场安全监控系统，实时识别安全隐患，保障施工安全。,https://safetyvision.com,https://images.pexels.com/photos/3862400/pexels-photo-3862400.jpeg?auto=compress&cs=tinysrgb&w=200,"[""智能施工管理""]","[""安全监控"",""AI优化""]",Paid,false,2025-08-11 14:03:46.680224+00,1876,13450,4.70,134,2025-08-11 14:03:46.680224+00,2025-08-11 14:03:46.680224+00,0,0
e005072e-0f06-4500-83c9-75f93cde4b50,StructuralGPT,基于AI的结构设计助手，快速生成结构方案,StructuralGPT 是一款革命性的AI驱动结构设计工具，专为土木工程师打造。它利用先进的机器学习算法和大量的工程数据，能够在几分钟内生成优化的结构设计方案。该工具不仅能够处理常规的建筑结构设计，还能应对复杂的工程挑战，如高层建筑、大跨度结构和特殊形状建筑的结构设计。,https://structuralgpt.com,https://images.pexels.com/photos/3862132/pexels-photo-3862132.jpeg?auto=compress&cs=tinysrgb&w=200,"[""AI结构设计""]","[""参数化设计"",""AI优化"",""自动化出图""]",Freemium,true,2025-08-11 14:03:46.680224+00,2340,15420,4.80,156,2025-08-11 14:03:46.680224+00,2025-08-11 14:03:46.680224+00,0,0
f02cfa8e-bbdc-4d70-9f20-df3954522e0b,施工安全监控,基于计算机视觉的施工现场安全监控,基于计算机视觉的施工现场安全监控系统，实时识别安全隐患，保障施工安全。,https://safetyvision.com,https://images.pexels.com/photos/3862400/pexels-photo-3862400.jpeg?auto=compress&cs=tinysrgb&w=200,"[""智能施工管理""]","[""安全监控"",""AI优化""]",Paid,false,2025-08-12 15:24:26.825299+00,1876,13450,4.70,134,2025-08-12 15:24:26.825299+00,2025-08-12 15:24:26.825299+00,0,0
f8ee53f8-a073-4fa0-b78c-27473d6486a8,施工进度AI,智能项目管理工具，优化施工进度安排,智能项目管理工具，通过AI分析优化施工进度安排和资源配置，提升项目管理效率。,https://constructionai.com,https://images.pexels.com/photos/3862130/pexels-photo-3862130.jpeg?auto=compress&cs=tinysrgb&w=200,"[""智能施工管理""]","[""协同工作"",""安全监控""]",Paid,true,2025-08-11 14:03:46.680224+00,1650,11230,4.50,127,2025-08-11 14:03:46.680224+00,2025-08-11 14:03:46.680224+00,0,0
fdaa16ef-eb7e-43bb-8d14-3d7f7bdf90a2,BIM智能建模,利用AI技术自动生成BIM模型,利用AI技术自动生成BIM模型，支持多种建筑类型的快速建模，大大提升建模效率。,https://bimaimodeling.com,https://images.pexels.com/photos/3862379/pexels-photo-3862379.jpeg?auto=compress&cs=tinysrgb&w=200,"[""BIM软件""]","[""BIM集成"",""自动化出图"",""参数化设计""]",Paid,true,2025-08-12 15:24:26.825299+00,1890,12340,4.60,89,2025-08-12 15:24:26.825299+00,2025-08-12 15:24:26.825299+00,0,0
